-14,-7.5,-10.90535455,-11.48854521
-12.5,-14.5,-5.297978321,-5.946825192
-34,-17,-25.28353694,-26.52280703
-14,-15.5,-14.85333582,-12.2156406
-13,-15,-10.67490994,-9.318680437
-17.5,-19.5,-21.14053514,-21.5
-26.5,-15,-16.58438706,-11.5
-9.5,-1.5,-6.696670452,-11
-23.5,-19,-23.5,-16.3261059
-17,-12,-17.5,-16.34909739
-19.5,-16.5,-10.5,-13.5
-37,-20.5,-14.5,-8.5
-28,-18,-20,-21
-27,-8,-18.5,-6
-14,-13,-18.5,-22
-24.5,-11,-14,-13.5
-10,-10,-9.5,-17.5
-34,-17,-23,-21
-15.5,-17,-15,-17.5
-12.5,-18,-22,-15.28321507
-11,-10,-9.5,-10.5
-7.5,-7.5,-10.5,-14
-8.5,-9.5,-15.5,-8
-6,-7.5,-7,-11.04852749
-15.5,-14,-12.5,-15
-13.5,-10.5,-19,-14
-13.5,-6,-4.5,-10
-20.5,-21.5,-19,-20
-3.5,-2,-2.5,-2
-23,-13.5,-13.5,-11
-13,-12,-13,-11.57250377
-1.5,-6,-2,-1.5
-1.5,-3,-1.5,-1.5
